mem: 1324621297554, val: 0
mem: 1324621297553, val: 0
mem: 1324621297552, val: 0
mem: 1324621297551, val: 0
mem: 1324621297550, val: 0
mem: 1324621297549, val: 0
mem: 1324621297548, val: 0
mem: 1324621297547, val: 0
mem: 1324621297546, val: 0
mem: 1324621297545, val: 0
mem: 1324621297544, val: 0
mem: 1324621297543, val: 0
mem: 1324621297542, val: 0
mem: 1324621297541, val: 0
mem: 1324621297540, val: 0
mem: 1324621297539, val: 0
mem: 1324621297538, val: 0
mem: 1324621297537, val: 0
mem: 1324621297536, val: 0
mem: 1324621297535, val: 0
mem: 1324621297534, val: 0
mem: 1324621297533, val: 0
mem: 1324621297532, val: 0
mem: 1324621297531, val: 0
mem: 1324621297530, val: 0
mem: 1324621297529, val: 0
mem: 1324621297528, val: 0
mem: 1324621297527, val: 0
mem: 1324621297526, val: 0
mem: 1324621297525, val: 0
mem: 1324621297524, val: 0
mem: 1324621297523, val: 0
mem: 1324621297522, val: 0
mem: 1324621297521, val: 0
mem: 1324621297520, val: 0
mem: 1324621297519, val: 0
mem: 1324621297518, val: 0
mem: 1324621297517, val: 0
mem: 1324621297516, val: 0
mem: 1324621297515, val: 0
mem: 1324621297514, val: 0
mem: 1324621297513, val: 0
mem: 1324621297512, val: 0
mem: 1324621297511, val: 0
mem: 1324621297510, val: 0
mem: 1324621297509, val: 0
mem: 1324621297508, val: 0
mem: 1324621297507, val: 0
mem: 1324621297506, val: 0
mem: 1324621297505, val: 0
mem: 1324621297504, val: 0
mem: 1324621297503, val: 0
mem: 1324621297502, val: 0
mem: 1324621297501, val: 0
mem: 1324621297500, val: 0
mem: 1324621297499, val: 0
mem: 1324621297498, val: 0
mem: 1324621297497, val: 0
mem: 1324621297496, val: 0
mem: 1324621297495, val: 0
mem: 1324621297494, val: 0
mem: 1324621297493, val: 0
mem: 1324621297492, val: 0
mem: 1324621297491, val: 0
mem: 1324621297490, val: 0
mem: 1324621297489, val: 0
mem: 1324621297488, val: 0
mem: 1324621297487, val: 0
mem: 1324621297486, val: 0
mem: 1324621297485, val: 0
mem: 1324621297484, val: 0
mem: 1324621297483, val: 0
mem: 1324621297482, val: 0
mem: 1324621297481, val: 0
mem: 1324621297480, val: 0
mem: 1324621297479, val: 0
mem: 1324621297478, val: 0
mem: 1324621297477, val: 0
mem: 1324621297476, val: 0
mem: 1324621297475, val: 0
mem: 1324621297474, val: 0
mem: 1324621297473, val: 0
mem: 1324621297472, val: 0
mem: 1324621297471, val: 0
mem: 1324621297470, val: 0
mem: 1324621297469, val: 0
mem: 1324621297468, val: 0
mem: 1324621297467, val: 0
